AID	CLUSTER2	GSWGT3	GSWGT3_2
91506944	179	2336.1762	2132.9824
91506946	179	 	2284.995
91506955	172	 	4690.4559
91506993	178	588.8227	525.0788
91507010	195	 	10945.4422
91507116	195	7592.9067	6932.4977
91507316	195	6531.2429	6259.034
91507851	192	 	4068.9438
91508025	151	7645.1703	7113.9156
91508026	151	6893.774	6396.8896
91508123	151	5198.0089	4745.9012
91508169	154	6129.6175	5370.6791
91508381	153	 	6027.3749
91508387	153	5252.0907	4763.9619
91508439	157	4075.1399	3720.696
91508526	151	7564.7507	7249.4673
91508766	154	4140.8707	3853.126
91508836	157	4075.1399	3720.696
91508862	154	4140.8707	3853.126
91508873	160	18458.147	16746.2733
91508944	159	 	5476.3311
91508948	159	9861.2567	8911.6523
91540058	142	5249.0338	4884.284
91540215	145	7839.4071	7512.6766
91540453	142	 	5341.9163
91540457	142	 	4541.3501
91543707	186	4443.6205	3973.5098
91544201	166	 	894.7075
91544202	166	 	1237.2819
91544204	166	837.5087	748.4525
91544302	166	 	1325.1562
91546074	180	5639.2065	5404.1759
91546574	180	5639.2065	5404.1759
91570095	148	5718.2011	5010.2022
91570110	145	 	4578.4433
91570129	141	3668.3324	3262.3591
91570187	143	 	1211.0396
91570210	145	5820.1113	5400.6136
91570291	148	4964.9376	4758.0091
91570412	145	 	4745.066
91570425	141	 	2776.3571
91570497	148	 	7419.646
91570523	141	3033.4346	2807.7224
91570524	141	2198.9905	2046.185
91570525	141	4923.3306	4655.7099
91570528	141	4174.7555	3831.2419
91570553	142	5221.1641	4844.8369
91570597	148	4710.6258	4371.0968
91570614	145	5014.5985	4578.4433
91570621	141	3033.4346	2807.7224
91570692	148	5718.2011	5010.2022
91570823	141	3824.6378	3629.9984
91570829	141	5116.3984	4623.7072
91570928	141	2418.5196	2208.1638
91570986	143	6094.3905	5527.9784
91570993	148	4991.8489	4528.8872
91570997	148	4964.9376	4758.0091
91571005	136	2295.869	2200.1819
91571014	135	6190.3687	5681.0033
91571116	135	4384.1483	4145.8362
91571155	132	 	8864.0375
91571214	135	3259.8809	2976.3459
91571218	135	4128.2111	3830.6609
91571310	135	4524.6946	4336.1146
91571379	140	870.1917	818.2205
91571467	134	 	9913.4203
91571560	134	6255.1747	5480.6905
91571601	136	2295.869	2200.1819
91571605	136	 	2654.2469
91571610	135	3401.9086	3086.4036
91571677	140	 	1591.6699
91571706	136	1851.745	1680.0076
91571707	136	3048.2702	2952.5146
91571807	136	1851.745	1680.0076
91571812	135	3641.35	3370.4039
91571817	135	4128.2111	3830.6609
91571876	140	 	1432.5126
91572001	116	 	10438.5002
91572040	119	5001.6585	4566.6288
91572063	114	4440.6347	4255.5582
91572076	120	4690.991	4255.9319
91572117	115	5688.3231	4984.0236
91572122	111	 	2073.7916
91572128	111	5376.8157	4861.8016
91572145	119	 	5533.5336
91572183	113	2005.0891	1840.1033
91572190	118	3874.2801	3518.5508
91572195	118	2371.4706	2165.207
91572204	116	 	10438.5002
91572214	115	4274.5154	3977.4839
91572221	111	 	2001.2613
91572222	111	2678.8162	2504.4873
91572229	111	3121.1406	2888.9023
91572288	113	1143.0439	1037.034
91572292	118	2371.4706	2165.207
91572297	118	 	4196.3259
91572321	111	1520.1297	1414.4975
91572328	111	2713.0022	2599.9299
91572346	119	6004.5424	5587.2932
91572369	114	4845.7178	4396.3088
91572373	120	 	5373.9608
91572381	113	663.7058	616.6127
91572385	113	1829.5797	1693.4441
91572387	113	1265.7373	1162.1104
91572389	113	1261.8014	1222.1643
91572396	118	3862.0151	3383.8398
91572408	116	6343.1319	5791.4247
91572442	119	6099.1944	5533.5336
91572462	114	9233.7461	8473.9608
91572471	120	5813.3635	5394.3521
91572841	119	 	6207.9794
91572868	114	 	8473.9608
91572900	116	7212.4594	6692.605
91572918	115	4274.5154	3977.4839
91572964	114	5404.6118	5029.0511
91572980	113	 	1550.0101
91572981	113	 	1506.9749
91572986	113	1489.9919	1331.554
91572989	113	1600.4342	1489.2217
