AID	ELYEAR1	ELYEAR2	ELYEAR3	ELYEAR4	ELYEAR5	ELYEAR6	ELMAT945	ELGLV945	ELY1NINE	EAMSQ1	EAMSQ2	EAMSQ3	EAMSQ4	EAMSQ5	EAMSQ6	EAMSQH	EAMSQB1	EAMSQB2	EAMSQB3	EAMSQB4	EAMSQB5	EAMSQB6	EAMSQBH	EASSQ1	EASSQ2	EASSQ3	EASSQ4	EASSQ5	EASSQ6	EASSQH	EASSQB1	EASSQB2	EASSQB3	EASSQB4	EASSQB5	EASSQB6	EASSQBH	EAMGPA1	EAMGPA2	EAMGPA3	EAMGPA4	EAMGPA5	EAMGPA6	EAMGPAC	EASGPA1	EASGPA2	EASGPA3	EASGPA4	EASGPA5	EASGPA6	EASGPAC	EAOGPA1	EAOGPA2	EAOGPA3	EAOGPA4	EAOGPA5	EAOGPA6	EAOGPAC	EAMFIX1	EAMFIX2	EAMFIX3	EAMFIX4	EAMFIX5	EAMFIX6	EAMFIXC	EASFIX1	EASFIX2	EASFIX3	EASFIX4	EASFIX5	EASFIX6	EASFIXC	EAOFIX1	EAOFIX2	EAOFIX3	EAOFIX4	EAOFIX5	EAOFIX6	EAOFIXC
97575219	1992	1993	1994	1995	9992	9992	3	11	1	4	6	5	8	9992	9992	8	4	6	5	8	9992	9992	8	3	4	6	5	9992	9992	6	3	4	6	5	9992	9992	6	4	3	4	4	9992	9992	3.75	3	4	4	4	9992	9992	3.75	3.5	3.5	3.8	3.75	9992	9992	3.647	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575226	1993	1994	1995	1996	9992	9992	2	10	1	3	4	5	2	9992	9992	5	3	4	5	2	9992	9992	5	2	3	3	4	9992	9992	4	0	3	3	0	9992	9992	3	1	.5	1.75	3	9992	9992	1.444	0	.5	2	0	9992	9992	.9	1.077	1.071	1.5	1.385	9992	9992	1.268	.5	.5	.25	0	9992	9992	.333	1	.5	.25	1	9992	9992	.6	.462	.143	.25	.385	9992	9992	.304
97575240	1994	1995	1996	1997	9992	9992	1	9	1	5	6	8	0	9992	9992	8	5	6	8	0	9992	9992	8	3	5	5	4	9992	9992	5	3	5	5	4	9992	9992	5	2	3.5	4	9994	9992	9992	3.375	3	4	4	3.5	9992	9992	3.7	3.5	3.714	3.875	3.929	9992	9992	3.759	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575254	1992	1993	1994	1995	9992	9992	3	11	1	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	4	3	2.5	2	9992	9992	2.875	1.5	3.5	3	9994	9992	9992	2.667	2.769	2.857	3.071	2.833	9992	9992	2.887	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97575262	1991	1992	1993	1994	9992	9992	4	12	1	5	7	8	9	9992	9992	9	5	7	8	9	9992	9992	9	2	3	4	6	9992	9992	6	2	3	4	6	9992	9992	6	4	3	2	3	9992	9992	3	4	4	3	4	9992	9992	3.833	3.857	3.556	3.25	3.5	9992	9992	3.533	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575267	1994	1995	1996	1997	9992	9992	1	9	1	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	2	3	4	6	9992	9992	6	2	3	4	6	9992	9992	6	4	3	3	4	9992	9992	3.5	4	3	3	3.667	9992	9992	3.429	3.6	3.467	3.375	3.714	9992	9992	3.533	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575287	1993	1994	1995	1996	9992	9992	2	10	1	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	3	5	4	6	9992	9992	6	3	5	4	6	9992	9992	6	4	4	4	4	9992	9992	4	4	4	4	4	9992	9992	4	4	4	4	4	9992	9992	4	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575296	1992	1993	1994	1995	9992	9992	3	11	1	5	8	9	7	9992	9992	9	5	8	9	7	9992	9992	9	0	3	4	6	9992	9992	6	0	3	4	6	9992	9992	6	3.5	3.667	2.5	3.5	9992	9992	3.333	9994	4	4	2	9992	9992	3.333	3.917	3.857	3.417	2.833	9992	9992	3.52	0	0	0	0	9992	9992	0	9994	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575303	1995	1996	1997	1998	9992	9992	9993	9993	1	4	5	6	0	9992	9992	6	4	5	6	0	9992	9992	6	2	3	4	6	9992	9992	6	2	3	4	6	9992	9992	6	3	3	1	9994	9992	9992	2.333	3	3	3	4	9992	9992	3.25	3.125	3	3.111	3.75	9992	9992	3.25	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97575312	1993	1994	1995	1996	9992	9992	2	10	1	4	6	5	8	9992	9992	8	4	6	5	8	9992	9992	8	2	3	4	5	9992	9992	5	2	3	4	5	9992	9992	5	4	4	4	4	9992	9992	4	4	4	4	4	9992	9992	4	4	4	4	4	9992	9992	4	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
