AID	PTWGT3	PTWGT3_2
90712942	1732.149663348	1609.177652164
90712997	5233.504742833	5099.358599606
90713391	5954.963111557	5810.63805575
90713395	6405.924620853	6218.668048923
90713702	 	4127.968904967
90713909	5223.309384218	3591.701309252
90713930	9604.086356077	8907.980542015
90713998	5513.217847154	5328.272750521
90714016	24546.7979816	24427.846941609
90714022	6268.137763731	6105.7703374
90714025	7075.90842957	6983.135684659
90714212	18711.19655956	17706.956078896
90714238	8187.857531671	7765.817833402
90714245	6167.022055469	6070.713116025
90714328	 	9328.251188979
90714390	7487.307939252	7101.377844957
90714942	7444.007567667	7405.857716252
90715191	6802.073544951	6123.235310542
90715198	1388.346079384	1189.410607653
90715266	12504.207025534	14113.756713946
90715294	5517.449494141	5231.673926783
90715353	4127.552525405	3848.771256735
90715983	8406.162022757	8096.477657933
90715987	3341.478429966	3271.511985999
90715988	5924.081824355	5825.928571211
90715993	4998.026161366	4845.023117984
90716050	5891.743140422	5932.445935034
90716064	4437.823914971	4085.194731985
90716258	6069.549236691	6038.443389765
90716352	 	4233.173221744
90716390	6794.004073647	6398.792993728
90716951	4347.500803373	4288.224905287
90716952	6284.266421411	6116.972298734
90716969	5100.234045977	4802.402846407
90716973	658.990916136	610.230631386
90716975	789.512799247	711.685393423
90716976	712.965859806	686.972157099
90716978	683.025660001	637.688392657
90716979	738.187835318	695.906110853
90716990	6742.781903512	6678.23325328
90716994	7034.34966947	6482.008186798
90717150	12084.646540165	11716.960746663
90717158	12084.646540165	11716.960746663
90717167	7414.497833359	7497.560132094
90717362	9548.299074888	9257.783908487
90718081	1151.968553123	1174.475069427
90718089	1175.977483755	1243.218859731
90718113	7522.29331991	7141.492580844
90718115	8897.155832969	8484.459659693
90718147	6753.360576018	6400.114112501
90718178	10976.047664055	10148.132414959
90718183	1450.531922805	1479.964119316
90718207	4808.627035402	4220.685516091
90718273	8070.81799504	7546.402643265
90718280	1779.666111588	1899.683379657
90718303	2606.109893777	2394.937230303
90718305	2386.735193879	2085.727966648
90718311	1474.732423314	1641.012981662
90718981	7292.161816696	7402.0326707
90719275	15834.837005818	15991.22950773
90719930	2120.102938804	2101.377210852
90719937	3756.046230317	3922.58386864
90719939	 	2248.938446085
90719972	8111.402949108	8085.332786996
91316152	5235.557543135	4888.036547201
91374970	3311.194753723	3126.272899801
91374975	3979.818176468	3715.550008285
91374977	3842.539450367	3547.62178917
91500014	7615.665317524	6929.955641487
91500119	8910.073632231	8101.104526945
91500186	 	1733.061225756
91500226	 	3211.891826263
91500238	 	7341.174361763
91500373	10793.853497277	10276.546732244
91500411	633.790793874	619.847024392
91500833	7216.673420312	6208.013999791
91500977	10028.903528684	10533.029407611
91501350	13478.935019646	11837.598291642
91504088	8544.162638408	7925.237296988
91504104	10714.70419008	8288.336067736
91504224	7542.642923531	6896.436083201
91504341	4839.904951541	4374.469339656
91504485	7705.405825651	7521.606964476
91504629	 	12158.252420338
91504686	9179.03887758	8319.849698315
91504702	1191.167151867	992.798810282
91504729	8059.594565988	7591.92707842
91504929	9455.347270991	7912.514376066
91506146	2509.071555319	2555.072977441
91506304	 	3738.354487797
91506305	5194.889131802	4795.004764565
91506443	 	3103.238838384
91506894	 	7389.658766378
91506902	3390.738608293	3000.014068927
91506935	4419.827197744	3936.972198479
91506944	2330.402284527	2328.035488114
91506946	 	2575.721722889
91506955	 	4825.326980675
91506993	840.160633099	719.488607785
91507010	 	13007.682716155
91507116	8472.779759261	8097.174456314
91507316	7606.139161675	7559.507576215
91507851	 	5159.585966176
91508025	10540.195423364	11008.513555436
91508026	9765.400360259	10190.374910948
91508123	6961.105669469	6879.196069049
91508169	8165.629202121	7823.752014675
91508381	 	6673.507163825
91508387	5463.806483194	4806.856382279
91508526	10810.944652166	11771.89176862
91508766	5708.909636831	5962.565791729
91508836	4926.288584846	3737.546141726
91508873	20376.217890791	17940.589819404
91508948	9643.236184731	9176.207991504
91540215	10208.216171382	9955.444454266
91540453	 	6430.03194967
91540457	 	6144.834332843
91544201	 	1062.383239895
91544202	 	2104.010343606
91544302	 	2061.385509665
91546074	6169.93929479	6012.701129988
91546574	6169.93929479	6012.701129988
91570095	6932.32664886	5191.275707284
91570110	 	5923.724446855
91570129	4206.022969707	4357.057033989
91570187	 	1391.480504902
91570291	6120.168388163	5023.806102973
91570412	 	6185.425851959
91570425	 	3843.214036153
91570497	 	8317.062779578
91570523	3282.223247932	3529.380061281
91570524	3306.777667905	3263.521790346
91570525	6152.7532042	6486.708179863
91570528	4451.731828773	4733.441574664
91570553	6834.56243944	6730.257902543
91570597	6557.381923906	5468.961809603
91570614	6455.914213515	5924.17886907
91570621	3478.06420288	3749.865130546
91570692	7864.901490045	5927.111636653
91570823	5024.538058051	5120.524398043
91570928	3281.742808491	3217.645267455
91570986	6717.634640119	6351.14173317
91570997	6943.487217716	5735.904099919
91571005	3086.674727993	2690.421454763
91571014	6471.897416781	6138.402180822
91571116	4862.043971822	4597.524014196
91571155	 	10042.285752926
91571214	3057.472943327	2815.08511561
91571218	4168.314869554	3922.086847416
91571310	4878.454200492	4729.079193686
91571467	 	11902.816724022
91571560	6091.877259565	5281.500765874
91571601	2273.467698445	2046.081613375
91571605	 	3139.595224778
91571610	3663.487003755	3297.555870033
91571706	2680.898291196	2224.950181838
91571707	4214.715281318	3426.834904699
91571807	2680.898291196	2224.950181838
91571812	3862.896436321	3705.263176677
91571817	4168.314869554	3922.086847416
91571876	 	3387.105960217
